Name,LeafA,LeafB,YoungAge,YoungProbabilityMass,OldAge,OldProbabilityMass
AerobicityXGBoost1592,ProtA16,ProtA69,,,2315.0,2.5e-2
AerobicityXGBoost1593,ProtA31,ProtA77,,,2315.0,2.5e-2
AerobicityXGBoost1594,ProtA15,ProtA38,,,2315.0,2.5e-2
AerobicityXGBoost1595,ProtA13,ProtA77,,,2315.0,2.5e-2
AerobicityXGBoost1596,ProtA62,ProtA76,,,2315.0,2.5e-2
AerobicityXGBoost1597,ProtG12,ProtG18,,,2315.0,2.5e-2
AerobicityXGBoost1598,ProtG83,ProtG89,,,2315.0,2.5e-2
AerobicityXGBoost1599,ProtG30,ProtG39,,,2315.0,2.5e-2
AerobicityXGBoost1600,ProtG16,ProtG31,,,2315.0,2.5e-2
AerobicityXGBoost1601,ProtG36,ProtG65,,,2315.0,2.5e-2
AerobicityXGBoost1602,ProtG25,ProtG48,,,2315.0,2.5e-2
AerobicityXGBoost1603,ProtG32,ProtG43,,,2315.0,2.5e-2
AerobicityXGBoost1604,ProtG37,ProtG41,,,2315.0,2.5e-2
AerobicityXGBoost1605,ProtG28,ProtG38,,,2315.0,2.5e-2
AerobicityXGBoost1606,ProtG45,ProtG66,,,2315.0,2.5e-2
AerobicityXGBoost1607,ProtG27,ProtG53,,,2315.0,2.5e-2
AerobicityXGBoost1608,ProtG58,ProtG59,,,2315.0,2.5e-2
AerobicityXGBoost1609,ProtG47,ProtG62,,,2315.0,2.5e-2
AerobicityXGBoost1610,ProtG61,ProtG72,,,2315.0,2.5e-2
AerobicityXGBoost1611,ProtG35,ProtG81,,,2315.0,2.5e-2
AerobicityXGBoost1612,ProtG85,ProtG86,,,2315.0,2.5e-2
AerobicityXGBoost1620,UBA1X2,UBA1X5,,,2315.0,2.5e-2
AerobicityXGBoost1622,Verr13,Verr7,,,2315.0,2.5e-2
AerobicityXGBoost1627,Acid1,Acid3,,,2315.0,2.5e-2
AerobicityXGBoost1628,Acid38,Acid7,,,2315.0,2.5e-2
AerobicityXGBoost1629,Acid32,Acid37,,,2315.0,2.5e-2
AerobicityXGBoost1630,Acid24,Acid34,,,2315.0,2.5e-2
AerobicityXGBoost1631,Acti40,Acti49,,,2315.0,2.5e-2
AerobicityXGBoost1632,Acti37,Acti52,,,2315.0,2.5e-2
AerobicityXGBoost1633,Acti10,Acti25,,,2315.0,2.5e-2
AerobicityXGBoost1635,Arma3,Arma6,,,2315.0,2.5e-2
AerobicityXGBoost1637,Bact1,Bact20,,,2315.0,2.5e-2
AerobicityXGBoost1638,Bact22,Bact5,,,2315.0,2.5e-2
AerobicityXGBoost1639,Bact33,Bact6,,,2315.0,2.5e-2
AerobicityXGBoost1640,Bact21,Bact44,,,2315.0,2.5e-2
AerobicityXGBoost1641,Bact27,Bact35,,,2315.0,2.5e-2
AerobicityXGBoost1642,Bdell14,Bdell15,,,2315.0,2.5e-2
AerobicityXGBoost1648,Cyan25,Cyan40,,,2315.0,2.5e-2
AerobicityXGBoost1649,Cyan12,Cyan7,,,2315.0,2.5e-2
AerobicityXGBoost1650,Cyan14,Cyan23,,,2315.0,2.5e-2
AerobicityXGBoost1651,Cyan30,Cyan46,,,2315.0,2.5e-2
AerobicityXGBoost1652,Cyan19,Cyan47,,,2315.0,2.5e-2
AerobicityXGBoost1654,Dein4,Dein5,,,2315.0,2.5e-2
AerobicityXGBoost1655,BdellC1,DesuB4,,,2315.0,2.5e-2
AerobicityXGBoost1663,Dorm2,Dorm3,,,2315.0,2.5e-2
AerobicityXGBoost1665,Erem2,Erem6,,,2315.0,2.5e-2
AerobicityXGBoost1682,Gemm2,Gemm9,,,2315.0,2.5e-2
AerobicityXGBoost1686,MyxA1,MyxA4,,,2315.0,2.5e-2
AerobicityXGBoost1687,Myxo14,Myxo9,,,2315.0,2.5e-2
AerobicityXGBoost1688,Bdell13,Myxo11,,,2315.0,2.5e-2
AerobicityXGBoost1690,Nitr15,Nitr8,,,2315.0,2.5e-2
AerobicityXGBoost1694,Pate3,Pate43,,,2315.0,2.5e-2
AerobicityXGBoost1699,Plan33,Plan43,,,2315.0,2.5e-2
AerobicityXGBoost1700,ProtA19,ProtA74,,,2315.0,2.5e-2
AerobicityXGBoost1701,ProtA13,ProtA34,,,2315.0,2.5e-2
AerobicityXGBoost1702,ProtA30,ProtA39,,,2315.0,2.5e-2
AerobicityXGBoost1703,ProtA16,ProtA34,,,2315.0,2.5e-2
AerobicityXGBoost1704,ProtA34,ProtA38,,,2315.0,2.5e-2
AerobicityXGBoost1705,ProtA47,ProtA76,,,2315.0,2.5e-2
AerobicityXGBoost1706,ProtG10,ProtG18,,,2315.0,2.5e-2
AerobicityXGBoost1707,ProtG83,ProtG84,,,2315.0,2.5e-2
AerobicityXGBoost1708,ProtG30,ProtG64,,,2315.0,2.5e-2
AerobicityXGBoost1709,ProtG31,ProtG47,,,2315.0,2.5e-2
AerobicityXGBoost1710,ProtG1,ProtG48,,,2315.0,2.5e-2
AerobicityXGBoost1712,ProtG37,ProtG53,,,2315.0,2.5e-2
AerobicityXGBoost1713,ProtG31,ProtG61,,,2315.0,2.5e-2
AerobicityXGBoost1714,ProtG56,ProtG85,,,2315.0,2.5e-2
AerobicityXGBoost1723,Acid38,Acid4,,,2315.0,2.5e-2
AerobicityXGBoost1724,Acid37,Acid5,,,2315.0,2.5e-2
AerobicityXGBoost1725,Acid22,Acid34,,,2315.0,2.5e-2
AerobicityXGBoost1726,Acti19,Acti49,,,2315.0,2.5e-2
AerobicityXGBoost1727,Acti50,Acti52,,,2315.0,2.5e-2
AerobicityXGBoost1728,Acti10,Acti11,,,2315.0,2.5e-2
AerobicityXGBoost1732,Bact20,Bact25,,,2315.0,2.5e-2
AerobicityXGBoost1733,Bact33,Bact37,,,2315.0,2.5e-2
AerobicityXGBoost1734,Bact19,Bact27,,,2315.0,2.5e-2
AerobicityXGBoost1735,Bdell15,Bdell17,,,2315.0,2.5e-2
AerobicityXGBoost1739,Cyan4,Cyan7,,,2315.0,2.5e-2
AerobicityXGBoost1740,Cyan10,Cyan46,,,2315.0,2.5e-2
AerobicityXGBoost1741,Cyan19,Cyan22,,,2315.0,2.5e-2
AerobicityXGBoost1757,Gemm5,Gemm9,,,2315.0,2.5e-2
AerobicityXGBoost1760,Myxo14,Myxo3,,,2315.0,2.5e-2
AerobicityXGBoost1764,Pate22,Pate43,,,2315.0,2.5e-2
AerobicityXGBoost1765,Pate48,Pate49,,,2315.0,2.5e-2
AerobicityXGBoost1769,ProtA19,ProtA68,,,2315.0,2.5e-2
AerobicityXGBoost1770,ProtA27,ProtA39,,,2315.0,2.5e-2
